fen,sequence_of_moves,found_mate,best_mate,difference,compute_duration
4r3/5p1k/2p1nBpp/q2p4/P1bP4/2P1R2Q/2B2PPP/6K1 w - - 1 1,h3e6->e8h8->e6f7,2,2,0,1.528986930847168
2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3 b - - 0 1,a2a1->b1a1->c4a2,2,2,0,0.660189151763916
6R1/5r1k/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1 w - - 1 1,g3e5->f7f8->e5h8,2,2,0,0.14412808418273926
r5q1/pp1b1kr1/2p2p2/2Q5/2PpB3/1P4NP/P4P2/4RK2 w - - 1 1,e4g6->g7g6->c5e7,2,2,0,0.7493541240692139
2r1kb1r/p2b1ppp/3p4/Q2Np1B1/4P2P/8/PP4P1/4KB1n w k - 1 1,a5d8->c8d8->d5c7,2,2,0,0.6742198467254639
5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K b - - 0 1,e4g4->e3a7->g4h4,2,2,0,1.870668888092041
r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4 w - - 1 1,g3e5->f8g7->e5g7,2,2,0,2.335984945297241
2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1 b - - 0 1,c3b2->h5f7->d6a3,2,2,0,4.343738079071045
4Q3/r4ppk/3p3p/4pPbB/2P1P3/1q5P/6P1/3R3K w - - 1 1,h5g6->f7g6->f5g6,2,2,0,1.432868242263794
rn5r/p4pp1/3n3p/qB1k4/3P4/4P3/PP2NPPP/R4K1R w - - 1 1,f2f3->h8g8->e2f4,2,2,0,0.7519381046295166
r2r2k1/pp2bppp/2p1p3/4qb1P/8/1BP1BQ2/PP3PP1/2KR3R b - - 0 1,e5c3->b2c3->e7a3,2,2,0,2.677245855331421
5R2/6k1/3K4/p6r/1p1NB3/1P4r1/8/8 w - - 1 1,d4e6->g7h6->f8h8,2,2,0,0.4537651538848877
5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1 w - - 1 1,f2f4->f8h8->e5f7,2,2,0,0.47754883766174316
3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1 w - - 1 1,e6e7->g8h8->e7d8r,2,2,0,4.508389949798584
5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K b - - 0 1,f5g3->h2g3->b5h5,2,2,0,1.1298449039459229
1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7 w - - 1 1,e7e5->f8h8->g7b7,2,2,0,0.9205849170684814
2k1r2r/ppp3p1/3b4/3pq2b/7p/2NP1P2/PPP2Q1P/R5RK b - - 0 1,h5f3->g1g2->e5h2,2,2,0,0.9604690074920654
3k4/1p3Bp1/p5r1/2b5/P3P1N1/5Pp1/1P1r4/2R4K b - - 0 1,d2h2->g4h2->g3g2,2,2,0,0.43825793266296387
6k1/1r4np/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/4R2K w - - 1 1,g2g4->g8h8->f6f8,2,2,0,0.23146295547485352
